"Receipt_ID","Purchase_date","Store_Name","City","State","Region","Customer_Segment","Category","sub_category","Quantity","Unit_Price","Sales","Discount","Profit","Payment_Method"
"TXN-00001201","2024-09-04","ShopEase","New York City","New York","East","Consumer","Clothing","Women",5,142.95,714.75,0.15,50.8,"Credit Card"
"TXN-00000063","2024-06-14","ValueHub","Boston","Massachusetts","East","Consumer","Electronics","Appliances",2,791.47,1582.94,0.2,158.58,"Cash"
"TXN-00000550","2024-07-18","Urban Mart","Miami","Florida","South","Consumer","Clothing","Men",10,887.14,8871.4,0.15,1422.93,"Credit Card"
"TXN-00001189","2024-09-03","ShopEase","New York City","New York","East","Home Office","Home & Kitchen","Decor",7,240.78,1685.46,0.05,275.58,"Bank Transfer"
"TXN-00000832","2024-08-09","ShopEase","Charlotte","North Carolina","South","Corporate","Groceries","Vegetables",1,558.59,558.59,0.05,39.0,"Bank Transfer"
"TXN-00000640","2024-07-25","ShopEase","Boston","Massachusetts","East","Consumer","Groceries","Dairy",2,797.02,1594.04,0.15,202.57,"Cash"
"TXN-00004750","2025-05-22","ShopEase","San Francisco","California","West","Consumer","Clothing","Kids",5,335.63,1678.15,0.15,83.68,"Bank Transfer"
"TXN-00000193","2024-06-22","ValueHub","Buffalo","New York","East","Consumer","Groceries","Vegetables",4,721.96,2887.84,0.2,383.4,"Credit Card"
"TXN-00004022","2025-03-31","ShopEase","Chicago","Illinois","Central","Consumer","Home & Kitchen","Furniture",4,738.27,2953.08,0.05,350.98,"Credit Card"
"TXN-00003052","2025-01-16","Urban Mart","Raleigh","North Carolina","South","Corporate","Clothing","Men",4,928.03,3712.12,0.15,270.13,"Cash"
"TXN-00001592","2024-10-04","ShopEase","Charlotte","North Carolina","South","Corporate","Electronics","Phones",6,128.96,773.76,0.2,38.34,"Cash"
"TXN-00004801","2025-05-26","Metro Store","Savannah","Georgia","South","Corporate","Clothing","Men",5,604.43,3022.15,0.2,558.77,"Cash"
"TXN-00003572","2025-02-23","Metro Store","Raleigh","North Carolina","South","Home Office","Clothing","Men",8,280.61,2244.88,0.15,376.36,"Bank Transfer"
"TXN-00000001","2024-06-09","ValueHub","Houston","Texas","Central","Consumer","Clothing","Men",7,980.22,6861.54,0.0,1703.41,"Credit Card"
"TXN-00000511","2024-07-16","QuickBuy","Atlanta","Georgia","South","Corporate","Groceries","Snacks",2,559.37,1118.74,0.0,211.03,"Cash"
"TXN-00002629","2024-12-18","Metro Store","Worcester","Massachusetts","East","Home Office","Home & Kitchen","Furniture",1,480.82,480.82,0.1,35.64,"Credit Card"
"TXN-00001834","2024-10-19","Metro Store","Spokane","Washington","West","Home Office","Home & Kitchen","Decor",3,790.28,2370.84,0.1,374.18,"Bank Transfer"
"TXN-00000512","2024-07-16","ValueHub","Raleigh","North Carolina","South","Consumer","Groceries","Fruits",7,753.38,5273.66,0.2,668.65,"Online Payment"
"TXN-00001575","2024-10-03","Urban Mart","Reno","Nevada","West","Home Office","Clothing","Kids",1,112.74,112.74,0.1,14.52,"Online Payment"
"TXN-00000721","2024-08-01","ValueHub","Chicago","Illinois","Central","Home Office","Groceries","Dairy",3,981.29,2943.87,0.05,441.67,"Cash"
"TXN-00004055","2025-04-03","ShopEase","Philadelphia","Pennsylvania","East","Corporate","Home & Kitchen","Decor",9,680.87,6127.83,0.1,335.82,"Online Payment"
"TXN-00001593","2024-10-04","QuickBuy","Atlanta","Georgia","South","Home Office","Electronics","Accessories",8,621.71,4973.68,0.0,436.05,"Online Payment"
"TXN-00000173","2024-06-21","ShopEase","Seattle","Washington","West","Consumer","Home & Kitchen","Furniture",3,277.39,832.17,0.05,118.0,"Credit Card"
"TXN-00003658","2025-03-02","ValueHub","Spokane","Washington","West","Consumer","Clothing","Kids",6,421.29,2527.74,0.0,273.76,"Bank Transfer"
"TXN-00004031","2025-04-01","QuickBuy","Pittsburgh","Pennsylvania","East","Home Office","Groceries","Fruits",6,487.18,2923.08,0.2,510.68,"Online Payment"
"TXN-00004032","2025-04-01","ShopEase","Detroit","Michigan","Central","Consumer","Home & Kitchen","Utensils",4,485.27,1941.08,0.1,356.29,"Online Payment"
"TXN-00004390","2025-04-28","Metro Store","Dallas","Texas","Central","Home Office","Groceries","Vegetables",9,286.68,2580.12,0.05,534.02,"Cash"
"TXN-00004743","2025-05-21","ShopEase","New York City","New York","East","Home Office","Clothing","Men",8,261.89,2095.12,0.05,181.18,"Cash"
"TXN-00003815","2025-03-15","QuickBuy","Springfield","Illinois","Central","Home Office","Groceries","Dairy",9,302.96,2726.64,0.0,356.95,"Cash"
"TXN-00003519","2025-02-20","Urban Mart","Atlanta","Georgia","South","Home Office","Home & Kitchen","Furniture",5,474.96,2374.8,0.1,521.34,"Online Payment"
"TXN-00000064","2024-06-14","QuickBuy","Atlanta","Georgia","South","Consumer","Clothing","Kids",9,118.64,1067.76,0.0,139.16,"Cash"
"TXN-00000833","2024-08-09","Urban Mart","Springfield","Illinois","Central","Home Office","Clothing","Women",10,527.38,5273.8,0.1,423.11,"Cash"
"TXN-00002951","2025-01-09","Metro Store","Reno","Nevada","West","Corporate","Groceries","Snacks",10,605.87,6058.7,0.0,1403.74,"Online Payment"
"TXN-00000237","2024-06-26","ShopEase","Pittsburgh","Pennsylvania","East","Corporate","Electronics","Accessories",1,286.08,286.08,0.1,28.74,"Online Payment"
"TXN-00000482","2024-07-14","QuickBuy","San Francisco","California","West","Corporate","Home & Kitchen","Decor",3,806.06,2418.18,0.15,402.3,"Online Payment"
"TXN-00001737","2024-10-13","ShopEase","Los Angeles","California","West","Corporate","Home & Kitchen","Furniture",2,933.29,1866.58,0.2,300.48,"Online Payment"
"TXN-00000129","2024-06-18","QuickBuy","Raleigh","North Carolina","South","Consumer","Groceries","Fruits",10,755.73,7557.3,0.05,645.08,"Bank Transfer"
"TXN-00001594","2024-10-04","ValueHub","Orlando","Florida","South","Corporate","Home & Kitchen","Utensils",9,740.38,6663.42,0.05,350.49,"Bank Transfer"
"TXN-00000976","2024-08-18","Urban Mart","Dallas","Texas","Central","Home Office","Groceries","Vegetables",7,181.01,1267.07,0.05,67.03,"Online Payment"
"TXN-00000364","2024-07-05","ValueHub","Reno","Nevada","West","Corporate","Electronics","Accessories",5,628.74,3143.7,0.15,654.28,"Bank Transfer"
"TXN-00004658","2025-05-16","ValueHub","Seattle","Washington","West","Consumer","Groceries","Dairy",6,462.12,2772.72,0.05,319.98,"Cash"
"TXN-00004161","2025-04-11","Urban Mart","Dallas","Texas","Central","Corporate","Groceries","Dairy",9,639.67,5757.03,0.0,879.52,"Online Payment"
"TXN-00003721","2025-03-06","ShopEase","Pittsburgh","Pennsylvania","East","Home Office","Clothing","Men",5,686.07,3430.35,0.1,213.54,"Online Payment"
"TXN-00001898","2024-10-24","ShopEase","San Francisco","California","West","Corporate","Electronics","Phones",6,921.07,5526.42,0.05,370.05,"Bank Transfer"
"TXN-00002146","2024-11-13","QuickBuy","New York City","New York","East","Corporate","Clothing","Kids",2,819.21,1638.42,0.0,239.05,"Credit Card"
"TXN-00002967","2025-01-10","ValueHub","Springfield","Illinois","Central","Home Office","Electronics","Appliances",3,710.48,2131.44,0.0,423.93,"Online Payment"
"TXN-00004644","2025-05-15","Metro Store","Philadelphia","Pennsylvania","East","Corporate","Groceries","Vegetables",4,131.96,527.84,0.0,71.24,"Cash"
"TXN-00003659","2025-03-02","Urban Mart","Spokane","Washington","West","Consumer","Groceries","Fruits",1,793.47,793.47,0.2,107.05,"Credit Card"
"TXN-00000112","2024-06-17","ShopEase","Chicago","Illinois","Central","Home Office","Home & Kitchen","Furniture",2,782.81,1565.62,0.2,114.08,"Credit Card"
"TXN-00001289","2024-09-12","Metro Store","Chicago","Illinois","Central","Home Office","Clothing","Men",10,349.14,3491.4,0.05,733.11,"Online Payment"
"TXN-00000590","2024-07-21","ValueHub","Los Angeles","California","West","Consumer","Clothing","Kids",5,173.43,867.15,0.2,35.29,"Cash"
"TXN-00000977","2024-08-18","QuickBuy","Atlanta","Georgia","South","Home Office","Groceries","Vegetables",3,835.07,2505.21,0.15,287.09,"Credit Card"
"TXN-00004986","2025-06-08","QuickBuy","Seattle","Washington","West","Consumer","Clothing","Women",8,762.75,6102.0,0.1,886.52,"Cash"
"TXN-00003558","2025-02-22","QuickBuy","Houston","Texas","Central","Corporate","Groceries","Fruits",10,736.7,7367.0,0.15,595.98,"Bank Transfer"
"TXN-00000084","2024-06-15","QuickBuy","Miami","Florida","South","Home Office","Home & Kitchen","Utensils",3,14.76,44.28,0.15,6.94,"Online Payment"
"TXN-00000028","2024-06-11","QuickBuy","Los Angeles","California","West","Corporate","Home & Kitchen","Utensils",3,66.58,199.74,0.05,22.34,"Credit Card"
"TXN-00000365","2024-07-05","ShopEase","Worcester","Massachusetts","East","Home Office","Home & Kitchen","Furniture",7,357.39,2501.73,0.2,480.39,"Online Payment"
"TXN-00002621","2024-12-17","Urban Mart","Springfield","Illinois","Central","Consumer","Home & Kitchen","Decor",8,498.28,3986.24,0.05,211.86,"Online Payment"
"TXN-00001041","2024-08-23","Metro Store","Charlotte","North Carolina","South","Corporate","Groceries","Fruits",3,304.15,912.45,0.2,50.56,"Online Payment"
"TXN-00002312","2024-11-25","QuickBuy","Orlando","Florida","South","Corporate","Groceries","Snacks",9,344.93,3104.37,0.2,395.68,"Online Payment"
"TXN-00003593","2025-02-25","ShopEase","Spokane","Washington","West","Corporate","Groceries","Snacks",8,37.91,303.28,0.05,46.48,"Bank Transfer"
"TXN-00002861","2025-01-03","Metro Store","Worcester","Massachusetts","East","Corporate","Electronics","Appliances",8,764.48,6115.84,0.2,905.17,"Bank Transfer"
"TXN-00003660","2025-03-02","QuickBuy","Philadelphia","Pennsylvania","East","Corporate","Home & Kitchen","Utensils",10,970.93,9709.3,0.2,1439.29,"Bank Transfer"
"TXN-00003327","2025-02-05","Metro Store","Los Angeles","California","West","Corporate","Electronics","Accessories",10,28.85,288.5,0.1,32.75,"Online Payment"
"TXN-00002211","2024-11-18","Urban Mart","Dallas","Texas","Central","Home Office","Home & Kitchen","Utensils",4,236.15,944.6,0.1,143.25,"Cash"
"TXN-00000652","2024-07-26","Urban Mart","Seattle","Washington","West","Home Office","Groceries","Dairy",1,461.99,461.99,0.15,64.25,"Online Payment"
"TXN-00004120","2025-04-08","ValueHub","Reno","Nevada","West","Consumer","Home & Kitchen","Utensils",7,571.21,3998.47,0.1,592.0,"Online Payment"
"TXN-00002364","2024-11-29","ValueHub","Worcester","Massachusetts","East","Home Office","Home & Kitchen","Furniture",3,615.6,1846.8,0.1,405.37,"Online Payment"
"TXN-00000989","2024-08-19","ShopEase","Las Vegas","Nevada","West","Corporate","Clothing","Women",5,996.24,4981.2,0.15,893.04,"Credit Card"
"TXN-00003892","2025-03-21","ValueHub","Houston","Texas","Central","Home Office","Groceries","Fruits",7,211.32,1479.24,0.0,266.72,"Bank Transfer"
"TXN-00003739","2025-03-08","Metro Store","Dallas","Texas","Central","Corporate","Electronics","Appliances",5,625.71,3128.55,0.15,490.14,"Bank Transfer"
"TXN-00003301","2025-02-03","Metro Store","Pittsburgh","Pennsylvania","East","Home Office","Clothing","Men",5,937.29,4686.45,0.2,794.02,"Bank Transfer"
"TXN-00001554","2024-10-02","ShopEase","Las Vegas","Nevada","West","Corporate","Home & Kitchen","Decor",4,152.17,608.68,0.1,119.87,"Cash"
"TXN-00001190","2024-09-03","QuickBuy","Las Vegas","Nevada","West","Corporate","Home & Kitchen","Utensils",3,257.93,773.79,0.2,60.19,"Online Payment"
"TXN-00003836","2025-03-17","Metro Store","New York City","New York","East","Corporate","Clothing","Men",8,560.71,4485.68,0.15,512.46,"Bank Transfer"
"TXN-00003204","2025-01-27","Urban Mart","Boston","Massachusetts","East","Corporate","Groceries","Vegetables",9,177.63,1598.67,0.0,388.09,"Online Payment"
"TXN-00001919","2024-10-26","ValueHub","San Francisco","California","West","Corporate","Home & Kitchen","Furniture",7,896.98,6278.86,0.0,812.35,"Credit Card"
"TXN-00002451","2024-12-05","ValueHub","Las Vegas","Nevada","West","Home Office","Clothing","Men",8,884.8,7078.4,0.05,1142.92,"Online Payment"
"TXN-00003875","2025-03-20","QuickBuy","Charlotte","North Carolina","South","Consumer","Electronics","Accessories",2,176.8,353.6,0.1,43.88,"Cash"
"TXN-00003193","2025-01-26","Urban Mart","Spokane","Washington","West","Corporate","Electronics","Appliances",8,683.37,5466.96,0.1,1111.42,"Bank Transfer"
"TXN-00002577","2024-12-14","ShopEase","Raleigh","North Carolina","South","Consumer","Clothing","Women",1,691.3,691.3,0.05,66.07,"Credit Card"
"TXN-00002339","2024-11-27","ValueHub","Detroit","Michigan","Central","Consumer","Home & Kitchen","Utensils",7,9.85,68.95,0.15,13.8,"Bank Transfer"
"TXN-00000665","2024-07-27","Metro Store","San Francisco","California","West","Consumer","Electronics","Accessories",6,879.71,5278.26,0.15,932.58,"Bank Transfer"
"TXN-00002979","2025-01-11","ShopEase","Savannah","Georgia","South","Home Office","Electronics","Phones",2,824.75,1649.5,0.1,224.56,"Bank Transfer"
"TXN-00000834","2024-08-09","Urban Mart","Houston","Texas","Central","Home Office","Electronics","Accessories",8,791.44,6331.52,0.05,304.45,"Cash"
"TXN-00000044","2024-06-12","Urban Mart","Houston","Texas","Central","Consumer","Clothing","Kids",9,714.14,6427.26,0.05,1339.59,"Cash"
"TXN-00004696","2025-05-18","ShopEase","Atlanta","Georgia","South","Consumer","Home & Kitchen","Utensils",5,200.27,1001.35,0.15,105.13,"Online Payment"
"TXN-00000653","2024-07-26","ValueHub","New York City","New York","East","Home Office","Home & Kitchen","Utensils",2,974.18,1948.36,0.05,189.46,"Cash"
"TXN-00001801","2024-10-17","ValueHub","Raleigh","North Carolina","South","Corporate","Clothing","Men",2,958.12,1916.24,0.05,435.9,"Cash"
"TXN-00001304","2024-09-13","Urban Mart","Savannah","Georgia","South","Consumer","Groceries","Fruits",4,946.16,3784.64,0.1,366.48,"Cash"
"TXN-00000532","2024-07-17","ValueHub","Boston","Massachusetts","East","Consumer","Home & Kitchen","Utensils",4,419.49,1677.96,0.15,297.37,"Online Payment"
"TXN-00002103","2024-11-09","Metro Store","Springfield","Illinois","Central","Corporate","Groceries","Dairy",2,12.3,24.6,0.05,5.24,"Bank Transfer"
"TXN-00001356","2024-09-17","QuickBuy","Pittsburgh","Pennsylvania","East","Home Office","Home & Kitchen","Decor",2,97.09,194.18,0.0,11.73,"Online Payment"
"TXN-00001493","2024-09-26","Urban Mart","Detroit","Michigan","Central","Corporate","Clothing","Women",5,977.57,4887.85,0.1,336.3,"Bank Transfer"
"TXN-00000835","2024-08-09","ShopEase","Springfield","Illinois","Central","Corporate","Groceries","Vegetables",2,318.68,637.36,0.2,69.64,"Cash"
"TXN-00001555","2024-10-02","QuickBuy","Chicago","Illinois","Central","Corporate","Electronics","Phones",7,284.36,1990.52,0.1,309.18,"Online Payment"
"TXN-00000194","2024-06-22","ShopEase","Houston","Texas","Central","Home Office","Electronics","Appliances",3,556.56,1669.68,0.15,86.07,"Bank Transfer"
"TXN-00000616","2024-07-23","QuickBuy","New York City","New York","East","Corporate","Clothing","Men",8,437.56,3500.48,0.15,173.04,"Cash"
"TXN-00003433","2025-02-13","Urban Mart","Savannah","Georgia","South","Home Office","Electronics","Appliances",2,350.91,701.82,0.05,149.1,"Cash"
"TXN-00001649","2024-10-07","ValueHub","Detroit","Michigan","Central","Consumer","Clothing","Men",7,920.57,6443.99,0.05,1246.71,"Cash"
"TXN-00004957","2025-06-06","QuickBuy","Seattle","Washington","West","Corporate","Groceries","Dairy",6,155.47,932.82,0.0,132.5,"Credit Card"
"TXN-00001305","2024-09-13","ShopEase","Detroit","Michigan","Central","Consumer","Home & Kitchen","Utensils",6,947.52,5685.12,0.2,345.04,"Bank Transfer"
"TXN-00000707","2024-07-31","ValueHub","Chicago","Illinois","Central","Home Office","Groceries","Dairy",2,400.06,800.12,0.05,74.5,"Bank Transfer"
"TXN-00000002","2024-06-09","QuickBuy","Los Angeles","California","West","Corporate","Home & Kitchen","Furniture",3,122.36,367.08,0.15,65.59,"Online Payment"
"TXN-00003440","2025-02-14","ShopEase","Boston","Massachusetts","East","Home Office","Electronics","Appliances",8,446.55,3572.4,0.15,441.17,"Cash"
"TXN-00004827","2025-05-28","QuickBuy","Atlanta","Georgia","South","Home Office","Home & Kitchen","Furniture",2,42.36,84.72,0.1,18.65,"Bank Transfer"
"TXN-00000003","2024-06-09","ShopEase","Boston","Massachusetts","East","Corporate","Clothing","Kids",2,907.39,1814.78,0.15,169.8,"Bank Transfer"
"TXN-00001064","2024-08-25","ShopEase","Springfield","Illinois","Central","Home Office","Clothing","Kids",9,78.38,705.42,0.0,107.71,"Credit Card"
"TXN-00003265","2025-02-01","ShopEase","Spokane","Washington","West","Corporate","Home & Kitchen","Utensils",9,18.24,164.16,0.15,11.99,"Credit Card"
"TXN-00001430","2024-09-22","ShopEase","San Francisco","California","West","Corporate","Clothing","Women",8,624.56,4996.48,0.1,531.83,"Bank Transfer"
"TXN-00004041","2025-04-02","Urban Mart","Buffalo","New York","East","Corporate","Clothing","Men",1,396.14,396.14,0.0,33.41,"Credit Card"
"TXN-00000252","2024-06-27","ShopEase","Raleigh","North Carolina","South","Home Office","Home & Kitchen","Utensils",7,805.03,5635.21,0.0,422.74,"Online Payment"
"TXN-00002564","2024-12-13","Urban Mart","Los Angeles","California","West","Consumer","Groceries","Vegetables",3,650.44,1951.32,0.15,362.27,"Bank Transfer"
"TXN-00001081","2024-08-26","QuickBuy","Houston","Texas","Central","Corporate","Clothing","Men",2,167.77,335.54,0.05,63.04,"Credit Card"
"TXN-00002078","2024-11-08","ValueHub","Orlando","Florida","South","Consumer","Home & Kitchen","Utensils",5,570.29,2851.45,0.15,145.87,"Cash"
"TXN-00004284","2025-04-19","ValueHub","Savannah","Georgia","South","Home Office","Groceries","Fruits",1,488.52,488.52,0.15,63.4,"Online Payment"
"TXN-00000269","2024-06-28","QuickBuy","Las Vegas","Nevada","West","Home Office","Home & Kitchen","Furniture",9,65.38,588.42,0.15,113.95,"Online Payment"
"TXN-00004162","2025-04-11","Urban Mart","Dallas","Texas","Central","Consumer","Groceries","Snacks",4,470.3,1881.2,0.15,154.18,"Online Payment"
"TXN-00004867","2025-05-31","Metro Store","Grand Rapids","Michigan","Central","Corporate","Clothing","Kids",7,833.41,5833.87,0.1,1098.37,"Bank Transfer"
"TXN-00003932","2025-03-24","QuickBuy","Boston","Massachusetts","East","Consumer","Clothing","Kids",4,158.0,632.0,0.15,37.7,"Cash"
"TXN-00003730","2025-03-07","ValueHub","Chicago","Illinois","Central","Consumer","Home & Kitchen","Utensils",6,881.14,5286.84,0.1,882.09,"Credit Card"
"TXN-00003539","2025-02-21","QuickBuy","San Francisco","California","West","Consumer","Clothing","Kids",2,562.86,1125.72,0.15,97.18,"Cash"
"TXN-00003125","2025-01-22","Metro Store","Reno","Nevada","West","Home Office","Electronics","Accessories",1,926.78,926.78,0.15,165.27,"Credit Card"
"TXN-00000990","2024-08-19","ValueHub","Las Vegas","Nevada","West","Consumer","Groceries","Fruits",2,871.13,1742.26,0.1,127.65,"Cash"
"TXN-00004645","2025-05-15","Urban Mart","Raleigh","North Carolina","South","Consumer","Electronics","Appliances",6,819.52,4917.12,0.0,1080.38,"Online Payment"
"TXN-00002753","2024-12-26","ShopEase","San Francisco","California","West","Corporate","Home & Kitchen","Utensils",2,267.48,534.96,0.15,55.53,"Cash"
"TXN-00000733","2024-08-02","QuickBuy","Miami","Florida","South","Corporate","Clothing","Men",8,951.94,7615.52,0.2,1272.84,"Bank Transfer"
"TXN-00000978","2024-08-18","ValueHub","Miami","Florida","South","Consumer","Electronics","Phones",6,316.17,1897.02,0.05,246.56,"Credit Card"
"TXN-00001261","2024-09-10","ValueHub","Philadelphia","Pennsylvania","East","Corporate","Home & Kitchen","Furniture",7,886.01,6202.07,0.2,1114.93,"Bank Transfer"
"TXN-00002018","2024-11-03","QuickBuy","Seattle","Washington","West","Corporate","Electronics","Accessories",9,625.11,5625.99,0.2,811.98,"Cash"
"TXN-00000366","2024-07-05","Urban Mart","Orlando","Florida","South","Consumer","Electronics","Appliances",7,725.65,5079.55,0.05,743.59,"Online Payment"
"TXN-00002147","2024-11-13","ValueHub","Reno","Nevada","West","Corporate","Electronics","Phones",1,29.84,29.84,0.2,4.02,"Cash"
"TXN-00002212","2024-11-18","Urban Mart","Charlotte","North Carolina","South","Corporate","Clothing","Women",9,355.76,3201.84,0.0,644.57,"Online Payment"
"TXN-00003816","2025-03-15","QuickBuy","Detroit","Michigan","Central","Corporate","Groceries","Snacks",10,566.47,5664.7,0.2,992.0,"Cash"
"TXN-00000054","2024-06-13","QuickBuy","Houston","Texas","Central","Home Office","Clothing","Women",2,329.19,658.38,0.2,46.62,"Cash"
"TXN-00003520","2025-02-20","QuickBuy","San Francisco","California","West","Consumer","Electronics","Accessories",1,426.04,426.04,0.05,58.79,"Credit Card"
"TXN-00002936","2025-01-08","ValueHub","Grand Rapids","Michigan","Central","Home Office","Home & Kitchen","Furniture",5,585.14,2925.7,0.15,619.98,"Bank Transfer"
"TXN-00001396","2024-09-20","ValueHub","Miami","Florida","South","Consumer","Home & Kitchen","Decor",8,131.13,1049.04,0.2,186.86,"Bank Transfer"
"TXN-00001431","2024-09-22","Metro Store","Atlanta","Georgia","South","Home Office","Groceries","Vegetables",2,602.4,1204.8,0.15,73.8,"Online Payment"
"TXN-00003933","2025-03-24","Urban Mart","Chicago","Illinois","Central","Corporate","Electronics","Appliances",6,304.65,1827.9,0.15,86.38,"Online Payment"
"TXN-00000551","2024-07-18","ShopEase","Orlando","Florida","South","Consumer","Clothing","Men",8,4.08,32.64,0.2,3.13,"Cash"
"TXN-00003441","2025-02-14","ValueHub","Raleigh","North Carolina","South","Corporate","Groceries","Snacks",7,476.28,3333.96,0.2,204.2,"Online Payment"
